Agency_ID,Max_Lat,Min_Lat,Max_Long,Min_Long
57040,38.891396,38.891396,-121.974548,-121.974548
57065,38.640538,38.526773,-121.477817,-121.579845
57070,38.525129,38.521903,-121.980265,-121.987714
57075,38.689365,38.65687,-121.729866,-121.802191
57760,38.548757,38.524788,-121.747549,-121.788939
57775,38.738622,38.738622,-122.143025,-122.143025
63010,30.9100714,30.773462,-91.2333827,-91.4116189
65000,37.08198,36.98685,-76.29541,-76.4847
65060,28.659211,28.350423,-80.987271,-81.626146
66000,38.46909725,38.4001371783,-78.8400941899,-78.9086341641
67015,41.1640627295,41.1316615311,-81.3114024872,-81.3893684295
68000,37.44854,37.32792,-79.12994,-79.2763
70001,37.2118565162,36.970777328,-76.3906453787,-76.5860451537
71000,36.9478829026,36.8308856054,-76.1884859668,-76.3189953501
71002,41.75139952,41.69998387,-86.06589082,-86.32784864
71008,41.72459218,41.65057013,-86.10930964,-86.19493621
71016,41.72257527,41.62920953,-86.19749159,-86.34709031
71019,41.70019379,41.61834586,-86.07558966,-86.14134368
72002,36.0759807,36.0172759,-95.7611715,-95.8509577
73500,37.14541642,37.11829007,-76.38113593,-76.39198967
76000,37.5892299929,37.4610084108,-77.4050006782,-77.5400128541
77001,41.163798263,41.0232393022,-81.4315855783,-81.592919054
79043,40.7490076,40.2646162,-74.4330474,-81.6665791
80000,36.8942,36.64616,-76.3941,-76.77559
83000,37.2801707,37.25421247,-76.70752009,-76.73161805
17M15,NA,NA,NA,NA
32M02,NA,NA,NA,NA
27D27,NA,NA,NA,NA
GB803,NA,NA,NA,NA
CN407,NA,NA,NA,NA
