X,Y,OBJECTID,ID,ENFORCEMENT,ADDRESS,DISTRICT,WARD,ANC,PSA,SPEED,XCOORD,YCOORD,LOCATIONCODE,VENDOR,MAR_ADDRESS,MAR_ID
-77.0334160867951,38.9534924592732,118,35,SPEED SAFETY CAMERA,5200 blk 14th St NW s/b,4,4,4C,403,25,397102.63,142844.3,9492,VM,4TH STREET NW FROM HAMILTON STREET NW TO INGRAHAM STREET NW,807819
-76.9772830719106,38.9095867424332,119,46,SPEED SAFETY CAMERA,1400 blk Bladensburg Rd NE s/b,5,5,5C,503/506,25,401970.25,137968.08,9516,VM,BLADENSBURG ROAD NE FROM 17TH STREET NE TO R STREET NE,800940
-76.9827102566667,38.9329618617877,120,47,SPEED SAFETY CAMERA,Monroe St e/b @ 16th St NE,5,5,5B,504,,401498.27999934,140563.61999987,9521,VM,MONROE STREET NE AND 16TH STREET NE,901099
-77.0090424505722,38.9239916183652,121,55,SPEED SAFETY CAMERA,2500 blk N Capitol St NE n/b,5,,,,,399216.25,139567.28,9594,VM,NORTH CAPITOL STREET FROM DOUGLAS STREET NE TO EVARTS STREET NE,801570
-76.9523874192799,38.8950828387373,122,61,SPEED SAFETY CAMERA,DC 295 NE AT BENNING ROAD EXIT NB,6,7,7F,603,50,,,9605,VM,,
-76.947744873254,38.8897161964778,123,63,SPEED SAFETY CAMERA,3900 blk E Capitol St SE e/b,6,7,7F,603,25,404532.67,135772.75,9616,VM,EAST CAPITOL STREET FROM B STREET SE TO 40TH STREET NE,809930
-76.9460994221338,38.8898430344629,124,62,SPEED SAFETY CAMERA,4000 blk East Capitol St NE w/b,6,7,7F,603,25,404693.274,135772.361,9614,VM,EAST CAPITOL STREET FROM 40TH STREET NE TO 41ST STREET NE,805503
-76.9638910753722,38.870734044793,125,66,SPEED SAFETY CAMERA,3000 blk Pennsylvania Ave SE nw/b,6,7,7B,605/607,25,403130.1,133658.19,9691,VM,PENNSYLVANIA AVENUE SE FROM 30TH STREET SE TO 31ST STREET SE,812288
-77.0165945618491,38.8227536108056,126,75,SPEED SAFETY CAMERA,DC295 SW 0.05 Mile S/O Exit 1 n/b,7,8,8D,708,,398559,128329.55,9717,VM,EXIT 1 FROM INTERSTATE 295 NORTHBOUND TO LABORATORY ROAD SW,
-77.0078763408917,38.8428014711276,127,76,SPEED SAFETY CAMERA,DC295 SE 0.4 miles s/o E/2 s/b (WZ),7,8,8C,703/707,,399373.44,130817.96,9718,VM,EXIT 2 FROM INTERSTATE 295 NORTHBOUND TO MALCOLM X AVENUE SE,
-77.0278934805606,38.9306500721947,1,1,STOP SIGN SAFETY CAMERA,11th St n/b @ Lamont St NW,3,1,1A,302,,397573.0700117,140312.97999964,8308,Sensys,LAMONT STREET NW AND 11TH STREET NW,907333
-77.0556509913085,38.9356365272811,2,1,SPEED SAFETY CAMERA,2500 blk Porter St NW w/b ,2,3,3C,203,25,395175.22,140861.92,8209,Sensys,PORTER STREET NW FROM WILLIAMSBURG LANE NW TO QUEBEC STREET NW,813039
-77.0364171891943,38.9525425955595,3,4,SPEED SAFETY CAMERA,16th St s/b @ Colorado Ave NW ,4,4,4A/4C,403/404,25,396843.55772302,142737.74300989,8402,Sensys,16TH STREET NW AND COLORADO AVENUE NW,903866
-77.0785714640464,38.9126969122418,4,23,SPEED SAFETY CAMERA,4300 blk Reservoir Rd NW e/b,2,2,2E,206,25,393185.8,138316.9,9295,VM,RESERVOIR ROAD NW FROM 39TH STREET NW TO 44TH STREET NW,812695
-77.0731303273505,38.9241670524316,5,24,SPEED SAFETY CAMERA,2600 blk Wisconsin Ave NW n/b,2,3,3B/3C,204,25,393653.45,139589.56,9296,Sensys,WISCONSIN AVENUE NW FROM DAVIS STREET NW TO EDMUNDS STREET NW,801693
-77.0922401068942,38.9139014259709,6,28,SPEED SAFETY CAMERA,4700 blk MacArthur Blvd NW s/b,3,3,3D,205,25,392000.5,138451.67,9305,VM,MACARTHUR BOULEVARD NW FROM 47TH PLACE NW TO RESERVOIR ROAD NW,807090
-77.0138947136182,38.9312939306248,7,34,SPEED SAFETY CAMERA,100 blk Irving St NW w/b,4,5,5A/5E,405,25,398793.71,140371.82,9418,Sensys, IRVING STREET NW FROM 1ST STREET NW TO KENYON STREET NW,807403
-77.0060752199138,38.934487358561,8,36,SPEED SAFETY CAMERA,3000 blk N Capitol St NW sw,4,5,5A,405,25,399473.49,140732.86,9494,VM,NORTH CAPITOL STREET FROM MICHIGAN AVENUE NW TO HAREWOOD ROAD NW,811116
-76.9812706387299,38.8724195891267,9,73,SPEED SAFETY CAMERA,DC 295 .4 mi s/o Penn Ave SE sw/b,7,8,8A,607,50,401625.483,133844.553,9708,VM,,
-76.9708386453022,38.9412072673018,10,8,SPEED SAFETY CAMERA,4200 blk Eastern Ave NE se/b,6,5,5B,503,25,402524.71,141458.42,8535,Sensys,EASTERN AVENUE NE FROM RUSSELL AVENUE NE TO KAYWOOD PLACE NE,800881
-76.9597759099076,38.8660663521025,11,60,SPEED SAFETY CAMERA,1900 blk Branch Ave SE s/b,6,7,7B,607,25,403490.8527089,133139.17476397,9602,VM,BRANCH AVENUE SE FROM 33RD STREET SE TO PARK DRIVE SE,814299
-76.968973008084,38.8694824360157,12,6,STOP SIGN SAFETY CAMERA,27th St n/b @ R St SE,6,7,7B,607,,402692.55253874,133518.07382286,8639,Sensys,R STREET SE AND 27TH STREET SE,903631
-76.9833049015022,38.8533051237514,13,12,SPEED SAFETY CAMERA,Suitland Pk w/b @ Stanton Rd SE,7,8,8B/8E,702/703/704,25,401449.1453278,131721.94942972,8701,Sensys,SUITLAND PARKWAY SE AND STANTON ROAD SE,901568
-76.9723216944471,38.8628802906263,14,13,SPEED SAFETY CAMERA,2300 blk Good Hope Rd SE nw/b,7,8,8B,701,25,402402.17249659,132785.09366735,8702,Sensys,GOOD HOPE ROAD SE FROM ALTAMONT PLACE SE TO GOOD HOPE COURT SE,815490
