near_schools,es,ms,hs,public_school,charter_school,anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,objectid,station,stationnumber,y2015,y2016,y2017,y2018,avg_2015_2018,latitude,longitude,geography
[None],,,,,,,,,,,,,14,Clarendon,97.0,4882.0,4038.0,4049.0,4375.0,4336.0000000000000000,38.88671262022707,-77.09539641043803,0101000020E61000002DBF8BF91A4653C0B26994CC7F714340
[None],,,,,,,,,,,,,16,College Park-U of Md,79.0,4389.0,4043.0,5205.0,3650.0,4321.7500000000000000,38.978641439882566,-76.92812724748374,0101000020E6100000079ED36F663B53C02A67691F447D4340
[None],,,,,,,,,,,,,19,Court House,96.0,7448.0,6670.0,6368.0,6420.0,6726.5000000000000000,38.89018331343143,-77.08713354119348,0101000020E6100000E2738F98934553C00351DD86F1714340
[None],,,,,,,,,,,,,20,Crystal City,45.0,12008.0,11258.0,10310.0,10795.0,11092.7500000000000000,38.857912097119446,-77.05029210671941,0101000020E6100000D66662FC374353C043FC4710D06D4340
[None],,,,,,,,,,,,,22,Dunn Loring-Merrifield,102.0,4386.0,4069.0,3726.0,3789.0,3992.5000000000000000,38.88363291174086,-77.2271630249647,0101000020E61000005DC5C8D6894E53C052CC1CE21A714340
[None],,,,,,,,,,,,,24,East Falls Church,100.0,4399.0,4011.0,3980.0,4023.0,4103.2500000000000000,38.88596094538926,-77.15688535143096,0101000020E61000008467DB680A4A53C074FD122B67714340
[None],,,,,,,,,,,,,26,Eisenhower Avenue,49.0,1757.0,1609.0,1346.0,1919.0,1657.7500000000000000,38.80043321433552,-77.07087668900878,0101000020E6100000DB55613E894453C0031A779874664340
[None],,,,,,,,,,,,,32,Forest Glen,32.0,2382.0,2220.0,2144.0,2045.0,2197.7500000000000000,39.014962084301075,-77.04291885849604,0101000020E6100000D167BD2EBF4253C066600F47EA814340
[None],,,,,,,,,,,,,34,Franconia-Springfield,95.0,7771.0,7066.0,5663.0,5940.0,6610.0000000000000000,38.766529647309376,-77.16797250796905,0101000020E6100000AB16C30FC04A53C0D94DBBA41D624340
[None],,,,,,,,,,,,,38,Glenmont,34.0,6185.0,5759.0,5726.0,5475.0,5786.2500000000000000,39.061791583269056,-77.05355966911596,0101000020E610000035CF88856D4353C082A75EC9E8874340
[None],,,,,,,,,,,,,39,Greenbelt,80.0,6315.0,5934.0,3126.0,5350.0,5181.2500000000000000,39.01115367391248,-76.91105983559324,0101000020E61000009DA4E9CD4E3A53C09957CC7B6D814340
[None],,,,,,,,,,,,,4,Arlington Cemetery,42.0,1918.0,1575.0,1492.0,1485.0,1617.5000000000000000,38.8846946403257,-77.06281243184046,0101000020E61000005E226F1E054453C09B9289AC3D714340
[None],,,,,,,,,,,,,40,Greensboro,113.0,1071.0,1096.0,1101.0,1265.0,1133.2500000000000000,38.920963175506685,-77.23388019675566,0101000020E6100000D90FA5E4F74E53C08ECF0F1FE2754340
