anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,charter_school,public_school,grades,school_name,es,ms,hs,geography
5E,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",5E01,Ward 5,009201,UPPER NORTHEAST,1,0,9th-11th,Washington Leadership Academy PCS,0,0,1,0101000020E610000019F5653EEA3F53C011637985C4764340
1B,Cluster 3,"Howard University, Le Droit Park, Cardozo/Shaw",1B11,Ward 1,003400,MID-CITY,0,1,Alternative,Washington Metropolitan High School,0,0,1,0101000020E61000002AFF6160FF4053C0621C06E6D0754340
5A,Cluster 19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",5A06,Ward 5,009501,UPPER NORTHEAST,1,0,PK3-5th,Washington Yu Ying PCS,1,0,0,0101000020E61000000C1AAF5D3C4053C08A0A04A17A784340
6B,Cluster 26,"Capitol Hill, Lincoln Park",6B06,Ward 6,006900,CAPITOL HILL,0,1,1st-5th,Watkins Elementary School,1,0,0,0101000020E610000009F6EB245C3F53C07658EAB015714340
4C,Cluster 18,"Brightwood Park, Crestwood, Petworth",4C02,Ward 4,002002,ROCK CREEK EAST,0,1,PK3-8th,West Elementary School,1,0,0,0101000020E61000002673B478104253C0E749E8A6C6794340
5D,Cluster 23,"Ivy City, Arboretum, Trinidad, Carver Langston",5D06,Ward 5,008802,UPPER NORTHEAST,0,1,PK3-8th,Wheatley Education Campus,1,0,0,0101000020E610000007B340A2433F53C006BDE15FBA734340
4B,Cluster 17,"Takoma, Brightwood, Manor Park",4B03,Ward 4,001902,ROCK CREEK EAST,0,1,PK3-8th,Whittier Education Campus,1,0,0,0101000020E61000002D181E3E3B4153C03024AE74A17B4340
3E,Cluster 11,"Friendship Heights, American University Park, Tenleytown",3E01,Ward 3,001100,ROCK CREEK WEST,0,1,9th-12th,Wilson High School,0,0,1,0101000020E61000005E13794EFA4453C0765204F69E794340
7C,Cluster 31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",7C06,Ward 7,007807,FAR NORTHEAST AND SOUTHEAST,0,1,9th-12th,Woodson High School,0,0,1,0101000020E6100000D273DC5C073B53C00AB9E908CA724340
1D,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1D04,Ward 1,002702,MID-CITY,1,0,Adult,Youthbuild PCS,0,0,1,0101000020E61000004473F7215B4253C09F43E58535774340
5D,Cluster 23,"Ivy City, Arboretum, Trinidad, Carver Langston",5D01,Ward 5,008803,UPPER NORTHEAST,0,1,Alternative,Youth Services Center,0,0,1,0101000020E6100000FECA0D07453F53C057680C3CC1744340
