,object_id,install_year,count,ward,location,lat,lng
94,95,FY-09,2,4,900 Longfellow Street,38.95716091955692,-77.02598310294239
95,96,FY-09,2,4,800 Otis Place    NW,38.93397643621786,-77.02451137426714
96,97,FY-09,2,4,300 Blk. Of Gallatin  Street  NW,38.95217692788934,-77.01675160980001
97,98,FY-09,2,4,500-600 Jefferson Street  NW,38.955557461539534,-77.02047639871876
98,99,FY-09,2,4,200 Jefferson Street  NW,38.9557059854387,-77.0138868514126
99,100,FY-09,2,4,Oglethorpe Street,38.96132094548099,-77.02244899534878
100,101,FY-09,2,4,1500 Blk. Of Roxanna Street ,38.989933251406256,-77.03516706745187
101,102,FY-09,2,4,Unit blk. Of Madison  NW,38.958537692160704,-77.01180012455465
102,103,FY-09,2,5,2200 blk S St.  Bewteen 22nd & 24th St NE,38.91408457803035,-76.97317208613138
103,104,FY-09,2,5,1200-1300 blk. Kearney Street NE BET. 12th # 13th ,38.93063049311328,-76.98968602846391
104,105,FY-09,2,5,"Girard st., N.E. Bet. North Capitol st. and Franklin st.",38.926311622924324,-77.00573218238212
105,106,FY-09,2,5,100 Blk Adams St btw 1st & 2nd St  NW ,38.92023677532288,-77.01487510908744
106,107,FY-09,2,5,1000 Douglas street NE bet. 10th and 12th street,38.92352019539578,-76.99135427428949
107,108,FY-09,2,5,2400 Kalarama road NW,38.91818237725014,-77.05351759025372
108,109,FY-09,2,5,2200 Kalarama road NW,38.917722246313915,-77.04981727315622
109,110,FY-09,2,5,1200-1300 blk. Kearney Street NE BET. 12TH # 13th ,38.93063049311328,-76.98968602846391
110,111,FY-09,2,5,Lawrence Street NE  bet. 15th and 16th Street,38.931975261935506,-76.98264203381845
111,112,FY-09,2,5,Lawrence Street NE bet. 13th and 14th Street,38.93179377873766,-76.98628857275685
112,113,FY-09,2,5,10th Street NE bet. Girard & Irving St (2900-3000 Blk),38.9285128810696,-76.99243849516894
113,114,FY-09,2,7,100 Blk 58th St SE  ,38.88833835464552,-76.91742985880538
114,115,FY-09,2,7,"4700 Blk Blaine St NE,",38.89189681908144,-76.93438628765395
115,116,FY-09,2,7,"400 Blk 57th St  NE,  ",38.895232242759285,-76.9191500900636
116,117,FY-09,2,7,5200 Blk Ames St NE ,38.89078425386578,-76.9270109682359
117,118,FY-09,2,7,5400 D St. SE,38.883214748861974,-76.92382551453973
118,119,FY-09,2,7,1700 40th street SE,38.865555939633765,-76.94655708731665
119,120,FY-09,2,7,200 blk. of 55th Street NE ,38.892075286073684,-76.9225160965471
120,121,FY-09,3,8,4300 blk. Of  Halley Terr.   SE,38.826920255793866,-77.00667258422072
121,122,FY-09,4,5,"1800,1900 & 2000 Capitol Ave NE",38.911303511609866,-76.98688792164317
122,123,FY-09,4,5,1900-2100 Savannah Terr. Se,38.848745323140186,-76.97588072377485
123,124,FY-09,4,5,"Unit Blk of Crittenden and Unit Blk of Buchanan, NE",38.947445346988694,-76.99241237755665
124,125,FY-09,4,7,Unit blk 54th St. SE,38.88810356066941,-76.92352477356701
125,126,FY-09,4,7,5300 & 5400 Blk Blaine St NE,38.891955665605316,-76.92464715607197
126,127,FY-09,4,7,Unit  55th St. SE,38.88721019921718,-76.92199124480821
127,128,FY-09,4,7,700-800 hilltop terrace SE,38.88036180519943,-76.94223114457692
128,129,FY-09,4,7,"3000 -3100 blocks of O Street, SE",38.87302010445537,-76.96273338635694
129,130,FY-09,4,7,700-800 Hilltop terrace SE,38.88036180519943,-76.94223114457692
130,131,FY-09,3,7,"3100 & 3000 blocks of Q Street, SE  ",38.871241693709095,-76.96226127325595
131,132,FY-09,3,7,"3000 - 3100 blocks of M Street, SE",38.87640346678113,-76.96442524298337
132,133,FY-09,3,7,"5300 Blk. of Ames Street, NE",38.89078064378163,-76.9244935919372
133,134,FY-09,3,7,5000-5100 blk. Of  Hayes Street  NE,38.900388037662495,-76.93015198583927
134,135,FY-09,3,7,"5300 Blk. of Ames Street, NE",38.89078064378163,-76.9244935919372
135,136,FY-09,3,7,3200 blk. Of  E Street  SE,38.882845857459905,-76.96063414918667
136,137,FY-09,3,7,3100 Blk M Place SE,38.87626887827655,-76.96252871768945
137,138,FY-09,3,7,1000 Blk 45Th St NE,38.90384688766147,-76.93754789216655
138,139,FY-09,3,7,4600 Hillside Terr. SE,38.87671339342476,-76.93388694925035
139,140,FY-09,3,7,1100 Blk 45 Place St NE,38.90550879040185,-76.93710664493545
140,141,FY-09,3,8,6th St from Atlantic to Galveston St SE,38.82392978412304,-76.99969008245435
141,142,FY-09,4,8,900-1200 Blk Mississippi Ave SE,38.83921948847355,-76.99202464913463
142,143,FY-09,4,8,300 Raleigh Street SE,38.84417979841572,-77.00185560121932
143,144,FY-09,5,3,3400-3600 Newark Street  NW,38.934393523751915,-77.06673475902889
144,145,FY-09,5,7,3500 Blk texas Ave SE ,38.86898613184243,-76.95344690199815
